S_NO,BRANDS,PRICE,RATING,REVIEWS,FEATURES,LINKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"vivo T2x 5G (Aurora Gold, 128 GB)","₹15,999",4.3,4.3,8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com//vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUSEFSWASX&lid=LSTMOBGZBFUSEFSWASX1YPF2N&marketplace=FLIPKART&q=vivo+5g+phons&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=de5a112c-f172-4d96-a4cf-203fa2008cb3.MOBGZBFUSEFSWASX.SEARCH&ppt=None&ppn=None&ssid=uc0ffw2zeo0000001694523953846&qH=8385144e129f0ed9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"vivo T2x 5G (Glimmer Black, 128 GB)","₹15,999",4.3,4.3,8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com//vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZEMCKRGE&lid=LSTMOBGZBFUZEMCKRGEW3VLBC&marketplace=FLIPKART&q=vivo+5g+phons&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=de5a112c-f172-4d96-a4cf-203fa2008cb3.MOBGZBFUZEMCKRGE.SEARCH&ppt=None&ppn=None&ssid=uc0ffw2zeo0000001694523953846&qH=8385144e129f0ed9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",4.4,4.4,4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com//vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUQMTHYHSH&lid=LSTMOBGZBFUQMTHYHSHQ0KBA5&marketplace=FLIPKART&q=vivo+5g+phons&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=de5a112c-f172-4d96-a4cf-203fa2008cb3.MOBGZBFUQMTHYHSH.SEARCH&ppt=None&ppn=None&ssid=uc0ffw2zeo0000001694523953846&qH=8385144e129f0ed9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"vivo T2x 5G (Glimmer Black, 128 GB)","₹13,999",4.4,4.4,6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com//vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPKCQWJ4&marketplace=FLIPKART&q=vivo+5g+phons&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=de5a112c-f172-4d96-a4cf-203fa2008cb3.MOBGZBFUF389GDMP.SEARCH&ppt=None&ppn=None&ssid=uc0ffw2zeo0000001694523953846&qH=8385144e129f0ed9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"vivo T2x 5G (Marine Blue, 128 GB)","₹12,999",4.4,4.4,4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com//vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUPTU7DNCA&lid=LSTMOBGZBFUPTU7DNCALOZWX1&marketplace=FLIPKART&q=vivo+5g+phons&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=de5a112c-f172-4d96-a4cf-203fa2008cb3.MOBGZBFUPTU7DNCA.SEARCH&ppt=None&ppn=None&ssid=uc0ffw2zeo0000001694523953846&qH=8385144e129f0ed9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999",4.4,4.4,4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com//vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZDW5JHYW&lid=LSTMOBGZBFUZDW5JHYWSWPYYZ&marketplace=FLIPKART&q=vivo+5g+phons&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=de5a112c-f172-4d96-a4cf-203fa2008cb3.MOBGZBFUZDW5JHYW.SEARCH&ppt=None&ppn=None&ssid=uc0ffw2zeo0000001694523953846&qH=8385144e129f0ed9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"vivo T2x 5G (Marine Blue, 128 GB)","₹13,999",4.4,4.4,6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com//vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFU4HBKKFSN&lid=LSTMOBGZBFU4HBKKFSNRCJ28C&marketplace=FLIPKART&q=vivo+5g+phons&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=de5a112c-f172-4d96-a4cf-203fa2008cb3.MOBGZBFU4HBKKFSN.SEARCH&ppt=None&ppn=None&ssid=uc0ffw2zeo0000001694523953846&qH=8385144e129f0ed9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"vivo T2x 5G (Marine Blue, 128 GB)","₹15,999",4.3,4.3,8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com//vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZHRYUKVR&lid=LSTMOBGZBFUZHRYUKVRNME6VW&marketplace=FLIPKART&q=vivo+5g+phons&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=de5a112c-f172-4d96-a4cf-203fa2008cb3.MOBGZBFUZHRYUKVR.SEARCH&ppt=None&ppn=None&ssid=uc0ffw2zeo0000001694523953846&qH=8385144e129f0ed9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"vivo T2x 5G (Aurora Gold, 128 GB)","₹13,999",4.4,4.4,6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com//vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHS1WR15D&marketplace=FLIPKART&q=vivo+5g+phons&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=de5a112c-f172-4d96-a4cf-203fa2008cb3.MOBGZBFUFNDXSGHS.SEARCH&ppt=None&ppn=None&ssid=uc0ffw2zeo0000001694523953846&qH=8385144e129f0ed9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"vivo T2 5G (Nitro Blaze, 128 GB)","₹20,999",4.4,4.4,8 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64 MP (OIS) + 2MP | 16MP Front Camera4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com//vivo-t2-5g-nitro-blaze-128-gb/p/itma79eb573156a4?pid=MOBGZBFUHGYHNEMB&lid=LSTMOBGZBFUHGYHNEMBDASSEQ&marketplace=FLIPKART&q=vivo+5g+phons&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=de5a112c-f172-4d96-a4cf-203fa2008cb3.MOBGZBFUHGYHNEMB.SEARCH&ppt=None&ppn=None&ssid=uc0ffw2zeo0000001694523953846&qH=8385144e129f0ed9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"vivo T2 5G (Nitro Blaze, 128 GB)","₹18,999",4.4,4.4,6 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64 MP (OIS) + 2MP | 16MP Front Camera4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com//vivo-t2-5g-nitro-blaze-128-gb/p/itma79eb573156a4?pid=MOBGZBFUVZCHW6HU&lid=LSTMOBGZBFUVZCHW6HUTZNZHA&marketplace=FLIPKART&q=vivo+5g+phons&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=de5a112c-f172-4d96-a4cf-203fa2008cb3.MOBGZBFUVZCHW6HU.SEARCH&ppt=None&ppn=None&ssid=uc0ffw2zeo0000001694523953846&qH=8385144e129f0ed9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"vivo T2 5G (Velocity Wave, 128 GB)","₹18,999",4.4,4.4,6 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64 MP (OIS) + 2MP | 16MP Front Camera4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com//vivo-t2-5g-velocity-wave-128-gb/p/itma79eb573156a4?pid=MOBGZBFU3KXMFYHP&lid=LSTMOBGZBFU3KXMFYHPQBLL0Y&marketplace=FLIPKART&q=vivo+5g+phons&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=de5a112c-f172-4d96-a4cf-203fa2008cb3.MOBGZBFU3KXMFYHP.SEARCH&ppt=None&ppn=None&ssid=uc0ffw2zeo0000001694523953846&qH=8385144e129f0ed9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"vivo T2 5G (Velocity Wave, 128 GB)","₹20,999",4.4,4.4,8 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64 MP (OIS) + 2MP | 16MP Front Camera4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com//vivo-t2-5g-velocity-wave-128-gb/p/itma79eb573156a4?pid=MOBGZBFU2GHZTMGN&lid=LSTMOBGZBFU2GHZTMGNEFEQUV&marketplace=FLIPKART&q=vivo+5g+phons&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=de5a112c-f172-4d96-a4cf-203fa2008cb3.MOBGZBFU2GHZTMGN.SEARCH&ppt=None&ppn=None&ssid=uc0ffw2zeo0000001694523953846&qH=8385144e129f0ed9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"vivo V29e 5G (Artistic Red, 256 GB)","₹28,999",4.4,4.4,8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 8MP | 50MP Front Camera5000 mAh BatterySnapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com//vivo-v29e-5g-artistic-red-256-gb/p/itmaaa634624a459?pid=MOBGSZM93HBUUCCZ&lid=LSTMOBGSZM93HBUUCCZ5YXZTX&marketplace=FLIPKART&q=vivo+5g+phons&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=de5a112c-f172-4d96-a4cf-203fa2008cb3.MOBGSZM93HBUUCCZ.SEARCH&ppt=None&ppn=None&ssid=uc0ffw2zeo0000001694523953846&qH=8385144e129f0ed9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"vivo V29e 5G (Artistic Blue, 256 GB)","₹28,999",4.4,4.4,8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 8MP | 50MP Front Camera5000 mAh BatterySnapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com//vivo-v29e-5g-artistic-blue-256-gb/p/itmaaa634624a459?pid=MOBGSZM9ZHZPHTHV&lid=LSTMOBGSZM9ZHZPHTHVSDGGAB&marketplace=FLIPKART&q=vivo+5g+phons&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=de5a112c-f172-4d96-a4cf-203fa2008cb3.MOBGSZM9ZHZPHTHV.SEARCH&ppt=None&ppn=None&ssid=uc0ffw2zeo0000001694523953846&qH=8385144e129f0ed9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"vivo V29e 5G (Artistic Red, 128 GB)","₹26,999",4.4,4.4,8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 8MP | 50MP Front Camera5000 mAh BatterySnapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com//vivo-v29e-5g-artistic-red-128-gb/p/itmaaa634624a459?pid=MOBGSZM9BGT9QE9U&lid=LSTMOBGSZM9BGT9QE9UV3SJDJ&marketplace=FLIPKART&q=vivo+5g+phons&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=de5a112c-f172-4d96-a4cf-203fa2008cb3.MOBGSZM9BGT9QE9U.SEARCH&ppt=None&ppn=None&ssid=uc0ffw2zeo0000001694523953846&qH=8385144e129f0ed9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
